1,1,SO,10000,1000,5000
2,2,SO,1000,1000,3000
3,3,SO,3000,1000,1000
4,4,SO,4000,7000,2000
5,5,SO,1000,4000,7000
6,6,SO,1000,4000,1000
7,7,SO,2000,4000,1000
8,8,SO,10000,4000,2000
9,11,SO,10000,1000,5000
10,24,SO,1000,1000,3000
11,33,SO,3000,1000,1000
12,44,SO,4000,7000,2000
13,5,SO,1000,4000,7000
14,6,SO,1000,4000,1000
15,7,SO,2000,4000,1000
16,18,SO,10000,4000,2000
17,30,Usuario,10000,1000,5000
18,32,Usuario,1000,1000,3000
19,43,Usuario,3000,1000,1000
20,54,Usuario,4000,7000,2000
21,65,Usuario,1000,4000,7000
22,76,Usuario,1000,4000,1000
23,27,Usuario,2000,4000,1000
24,88,Usuario,10000,4000,2000
25,49,Usuario,10000,1000,5000
26,24,Usuario,1000,1000,3000
27,33,Usuario,3000,1000,1000
28,44,Usuario,4000,7000,2000
29,35,Usuario,1000,4000,7000
30,36,Usuario,1000,4000,1000
31,37,Usuario,2000,4000,1000
32,98,Usuario,10000,4000,2000
